pair_idx,frame0,frame1,AEPE,1px,3px,5px,H,W
0,Image0186.png,Image0187.png,4.156900405883789,0.0014294610507246377,0.6792346014492754,0.7272524626358695,1472,768
1,Image0187.png,Image0188.png,4.239887237548828,0.0015320708786231885,0.6816477015398551,0.7216195369112319,1472,768
2,Image0188.png,Image0189.png,4.289698123931885,0.0006368885869565217,0.6778228317481884,0.7362502830615942,1472,768
3,Image0189.png,Image0190.png,4.359292984008789,0.0007041157155797101,0.680756057518116,0.7342759284420289,1472,768
4,Image0190.png,Image0191.png,4.278802871704102,0.0011322463768115942,0.695404495018116,0.7270012454710145,1472,768
5,Image0191.png,Image0192.png,4.496209144592285,0.0006828860960144928,0.6938511945199275,0.6991939821105072,1472,768
6,Image0192.png,Image0193.png,5.15994930267334,0.0005838145380434783,0.6723915874094203,0.6750983639039855,1472,768
7,Image0193.png,Image0194.png,5.53769063949585,0.00016983695652173913,0.6498988054800725,0.6625658118206522,1472,768
8,Image0194.png,Image0195.png,6.006495475769043,0.0,0.6330460258152174,0.6507515285326086,1472,768
9,Image0195.png,Image0196.png,7.4071044921875,0.0,0.000290138134057971,0.6220880038496377,1472,768
10,Image0196.png,Image0197.png,7.87501859664917,2.8306159420289855e-05,0.00020521965579710144,0.5967009171195652,1472,768
11,Image0197.png,Image0198.png,7.687434673309326,0.0,0.002427253170289855,0.5680833899456522,1472,768
12,Image0198.png,Image0199.png,7.89854621887207,2.4767889492753625e-05,0.0030747565670289855,0.014708588088768116,1472,768
13,Image0199.png,Image0200.png,8.758163452148438,7.076539855072464e-06,0.00023706408514492753,0.005215409873188406,1472,768
14,Image0200.png,Image0201.png,10.842671394348145,0.0,0.0,0.004054857336956522,1472,768
15,Image0201.png,Image0202.png,13.072460174560547,0.0,0.0,0.026250424592391304,1472,768
16,Image0202.png,Image0203.png,13.741060256958008,0.0,0.004447605298913043,0.014942113903985508,1472,768
17,Image0203.png,Image0204.png,14.36448860168457,0.0,0.0010897871376811595,0.008360931838768116,1472,768
18,Image0204.png,Image0205.png,15.260043144226074,0.0,0.0008739526721014493,0.005823992300724638,1472,768
19,Image0205.png,Image0206.png,16.219518661499023,8.491847826086956e-05,0.001524994338768116,0.003463966259057971,1472,768
20,Image0206.png,Image0207.png,17.028377532958984,0.0,0.0005979676177536232,0.0015533004981884058,1472,768
21,Image0207.png,Image0208.png,17.856334686279297,0.0,0.0,0.0,1472,768
22,Image0208.png,Image0209.png,18.612131118774414,0.0,0.0,0.0,1472,768
23,Image0209.png,Image0210.png,19.23029899597168,0.0,0.0,4.953577898550725e-05,1472,768
24,Image0210.png,Image0211.png,20.21744155883789,0.0,0.0,0.0,1472,768
25,Image0211.png,Image0212.png,20.742691040039062,1.769134963768116e-05,0.00048828125,0.0011676290760869565,1472,768
26,Image0212.png,Image0213.png,20.70546531677246,8.84567481884058e-05,0.0006545799365942029,0.001096863677536232,1472,768
27,Image0213.png,Image0214.png,20.34198760986328,0.0,0.0,0.0,1472,768
28,Image0214.png,Image0215.png,20.60069465637207,0.0,0.0,0.0,1472,768
29,Image0215.png,Image0216.png,21.282136917114258,0.0,0.0,0.0,1472,768
30,Image0216.png,Image0217.png,22.736358642578125,0.0,0.0,0.0,1472,768
31,Image0217.png,Image0218.png,24.249528884887695,0.0,0.0,0.0,1472,768
32,Image0218.png,Image0219.png,23.136760711669922,0.0,0.0,0.0,1472,768
33,Image0219.png,Image0220.png,21.877107620239258,0.0,0.0,0.00675101902173913,1472,768
34,Image0220.png,Image0221.png,20.5793514251709,0.0,0.00409377830615942,0.016155740489130436,1472,768
35,Image0221.png,Image0222.png,18.87521743774414,0.0010862488677536232,0.008024796195652174,0.016099128170289856,1472,768
36,Image0222.png,Image0223.png,17.344600677490234,0.0030924479166666665,0.010749264039855072,0.01769134963768116,1472,768
37,Image0223.png,Image0224.png,16.50275421142578,0.0032587466032608695,0.01087310348731884,0.019885076992753624,1472,768
38,Image0224.png,Image0225.png,16.14398193359375,0.005516162817028986,0.011789515398550724,0.019704625226449276,1472,768
39,Image0225.png,Image0226.png,15.583566665649414,0.007019927536231884,0.016778475996376812,0.02422653419384058,1472,768
