pair_idx,frame0,frame1,AEPE,1px,3px,5px,H,W
0,0186.png,0187.png,5.099424362182617,0.0005519701086956521,0.007094231204710145,0.7136761209239131,1472,768
1,0187.png,0188.png,5.24003267288208,0.00038213315217391306,0.006096439085144928,0.7174797610960145,1472,768
2,0188.png,0189.png,5.337542533874512,0.0004458220108695652,0.004645748414855072,0.715926460597826,1472,768
3,0189.png,0190.png,5.441087245941162,3.538269927536232e-06,0.0034533514492753625,0.7166694972826086,1472,768
4,0190.png,0191.png,5.616734981536865,0.0,0.0019885076992753625,0.7071621659873188,1472,768
5,0191.png,0192.png,6.204282283782959,0.00028306159420289856,0.002529862998188406,0.6944456238677537,1472,768
6,0192.png,0193.png,7.086404800415039,2.8306159420289855e-05,0.001096863677536232,0.6734849128170289,1472,768
7,0193.png,0194.png,7.596414089202881,0.0,0.0004316689311594203,0.4561112998188406,1472,768
8,0194.png,0195.png,8.177923202514648,0.0,0.0,0.003340126811594203,1472,768
9,0195.png,0196.png,9.602468490600586,0.0,0.0,0.0002229110054347826,1472,768
10,0196.png,0197.png,10.092985153198242,0.0,0.0,0.0001769134963768116,1472,768
11,0197.png,0198.png,9.929424285888672,0.0,0.0,0.0008881057518115942,1472,768
12,0198.png,0199.png,10.153464317321777,0.0,1.0614809782608695e-05,0.0024307914402173915,1472,768
13,0199.png,0200.png,11.07181167602539,0.0,5.661231884057971e-05,0.0022821841032608695,1472,768
14,0200.png,0201.png,13.253238677978516,0.0,0.0,6.368885869565217e-05,1472,768
15,0201.png,0202.png,15.493451118469238,0.0,0.0,0.0,1472,768
16,0202.png,0203.png,16.035646438598633,0.0,0.0,0.006977468297101449,1472,768
17,0203.png,0204.png,16.520063400268555,0.0,0.0,0.005601081295289855,1472,768
18,0204.png,0205.png,17.318124771118164,0.0,0.000244140625,0.004182235054347826,1472,768
19,0205.png,0206.png,18.171010971069336,0.0,0.0009588711503623189,0.00458205955615942,1472,768
20,0206.png,0207.png,18.915023803710938,0.0,0.0007713428442028985,0.002165421195652174,1472,768
21,0207.png,0208.png,19.72210693359375,0.0,0.0,7.430366847826087e-05,1472,768
22,0208.png,0209.png,20.501850128173828,0.0,0.0,0.0,1472,768
23,0209.png,0210.png,21.138933181762695,0.0,0.0,4.245923913043478e-05,1472,768
24,0210.png,0211.png,22.113183975219727,0.0,0.0,0.0,1472,768
25,0211.png,0212.png,22.688936233520508,0.0,0.0,0.00037505661231884056,1472,768
26,0212.png,0213.png,22.74783706665039,1.769134963768116e-05,0.00036090353260869563,0.0008031872735507246,1472,768
27,0213.png,0214.png,22.41693115234375,0.0,0.0,0.0,1472,768
28,0214.png,0215.png,22.720670700073242,0.0,0.0,0.0,1472,768
29,0215.png,0216.png,23.474306106567383,0.0,0.0,0.0,1472,768
30,0216.png,0217.png,25.095727920532227,0.0,0.0,0.0,1472,768
31,0217.png,0218.png,26.702531814575195,0.0,0.0,0.0,1472,768
32,0218.png,0219.png,25.498960494995117,0.0,0.0,0.0,1472,768
33,0219.png,0220.png,24.14645767211914,0.0,0.0,0.0,1472,768
34,0220.png,0221.png,22.77461051940918,0.0,0.0,0.00036090353260869563,1472,768
35,0221.png,0222.png,20.9598445892334,0.0,0.0,0.005509086277173913,1472,768
36,0222.png,0223.png,19.269004821777344,0.0,0.002682008605072464,0.00794341598731884,1472,768
37,0223.png,0224.png,18.286453247070312,0.0,0.003959324048913043,0.00910750679347826,1472,768
38,0224.png,0225.png,17.881099700927734,0.0,0.004677592844202899,0.00993546195652174,1472,768
39,0225.png,0226.png,17.29264259338379,0.0,0.004015936367753623,0.015632076539855072,1472,768
40,0226.png,0227.png,16.933881759643555,0.0004988960597826087,0.006220278532608696,0.022701539855072464,1472,768
41,0227.png,0228.png,16.932476043701172,0.0,0.001999122509057971,0.023065981657608696,1472,768
42,0228.png,0229.png,17.06896209716797,0.00027244678442028987,0.004001783288043478,0.023352581521739132,1472,768
43,0229.png,0230.png,17.09799575805664,0.0007819576539855072,0.003099524456521739,0.021742668704710144,1472,768
44,0230.png,0231.png,16.95781135559082,0.00027244678442028987,0.002735082653985507,0.022935065670289856,1472,768
45,0231.png,0232.png,17.182363510131836,0.0008208786231884058,0.002823539402173913,0.021077473958333332,1472,768
46,0232.png,0233.png,16.55482292175293,4.5997509057971015e-05,0.001769134963768116,0.024085003396739132,1472,768
47,0233.png,0234.png,13.431139945983887,0.0,0.0,0.030439736186594204,1472,768
48,0234.png,0235.png,11.373883247375488,0.0,0.0,0.031412760416666664,1472,768
49,0235.png,0236.png,10.15186882019043,0.0,0.0,0.028412307518115944,1472,768
50,0236.png,0237.png,9.19138240814209,0.0,0.0,0.022032806838768116,1472,768
51,0237.png,0238.png,8.345065116882324,0.0,0.0,0.0185546875,1472,768
52,0238.png,0239.png,7.531988620758057,0.0,0.00012030117753623189,0.0030287590579710145,1472,768
53,0239.png,0240.png,6.696846961975098,0.0,0.00025121716485507244,0.002285722373188406,1472,768
54,0240.png,0241.png,6.062510013580322,0.0,0.00029367640398550725,0.046496405117753624,1472,768
55,0241.png,0242.png,5.658318519592285,2.4767889492753625e-05,0.00025121716485507244,0.5104945086050725,1472,768
56,0242.png,0243.png,5.4731245040893555,0.0,5.307404891304348e-05,0.7698744621829711,1472,768
57,0243.png,0244.png,5.224799156188965,0.0,0.0,0.8466938405797102,1472,768
58,0244.png,0245.png,5.040864944458008,0.0,7.076539855072464e-06,0.8516651098278986,1472,768
59,0245.png,0246.png,4.911588191986084,0.0,7.076539855072464e-06,0.8565019248188406,1472,768
60,0246.png,0247.png,4.809478282928467,0.0,3.538269927536232e-06,0.860457710597826,1472,768
61,0247.png,0248.png,4.707729339599609,0.0,1.0614809782608695e-05,0.8652414515398551,1472,768
62,0248.png,0249.png,4.608168125152588,0.0,3.538269927536232e-06,0.8701171875,1472,768
