run_name,model_family,run_dir,source_kind,source_path,config_path,workspace_cfg,backbone,model_name,selected_epoch,selected_step,num_sources_found,epe,1px,3px,5px,epe_occ,epe_noc,epe_nonocc,epe_flat,epe_line,epe_s<10,epe_s10-50,epe_s>50,train_root,val_root,variant,checkpoint
v4_unsamflow_strategy,UnSAMFlow,workspaces/v4_unsamflow_strategy,tensorboard_partial,workspaces/v4_unsamflow_strategy/tb_v4_unsamflow_strategy/events.out.tfevents.1772988752.ldtan.1890633.0,workspaces/v4_unsamflow_strategy/config.yaml,workspaces/v4_unsamflow_strategy,,,860,860,1,9.438496589660645,0.190603569149971,0.4399525225162506,0.5515987277030945,,,,,,3.3328585624694824,19.22068214416504,90.31632995605469,data/AnimeRun_v2/,data/AnimeRun_v2/,,
v4_unsamflow_strategy_v2,UnSAMFlow,workspaces/v4_unsamflow_strategy_v2,missing_metrics,,workspaces/v4_unsamflow_strategy_v2/config.yaml,workspaces/v4_unsamflow_strategy_v2,,,,,0,,,,,,,,,,,,,data/AnimeRun_v2/,data/AnimeRun_v2/,,
v4_6_hybrid_sam_sub7_v2,v4_5_hybrid_sam,workspaces/v4_6_hybrid_sam_sub7_v2,tensorboard,workspaces/v4_6_hybrid_sam_sub7_v2/tb_v4_6_hybrid_sam_sub7_v2/events.out.tfevents.1773200736.ldtan.2649812.0,workspaces/v4_6_hybrid_sam_sub7_v2/config.yaml,workspaces/v4_6_hybrid_sam_sub7_v2,v4_5_hybrid_sam,,215,215,1,9.430534362792969,0.19901996850967407,0.4393681585788727,0.5520367622375488,,,,,,3.309349536895752,19.25588035583496,90.41088104248047,data/AnimeRun_v2/,data/AnimeRun_v2/,,
v4_6_hybrid_sam_sub7_v3_fast,v4_5_hybrid_sam,workspaces/v4_6_hybrid_sam_sub7_v3_fast,tensorboard,workspaces/v4_6_hybrid_sam_sub7_v3_fast/tb_v4_6_hybrid_sam_sub7_v3_fast/events.out.tfevents.1773222589.ldtan.2751859.0,workspaces/v4_6_hybrid_sam_sub7_v3_fast/config.yaml,workspaces/v4_6_hybrid_sam_sub7_v3_fast,v4_5_hybrid_sam,,860,860,1,9.449843406677246,0.18321135640144348,0.43943601846694946,0.5519177317619324,,,,,,3.341644287109375,19.233360290527344,90.3724594116211,data/AnimeRun_v2/,data/AnimeRun_v2/,,
v4_6_hybrid_sam_sub7,v4_5_hybrid_sam,workspaces/v4_6_hybrid_sam_sub7,tensorboard_partial,workspaces/v4_6_hybrid_sam_sub7/tb_v4_6_hybrid_sam_sub7/events.out.tfevents.1773124558.ldtan.2379722.0,workspaces/v4_6_hybrid_sam_sub7/config.yaml,workspaces/v4_6_hybrid_sam_sub7,v4_5_hybrid_sam,,215,215,1,9.513989448547363,0.18546096980571747,0.43147626519203186,0.5502140522003174,,,,,,3.3832037448883057,19.354522705078125,90.61997985839844,data/AnimeRun_v2/,data/AnimeRun_v2/,,
v4_5_hybrid_sam,v4_5_hybrid_sam,workspaces/v4_5_hybrid_sam,tensorboard,workspaces/v4_5_hybrid_sam/tb_v4_5_hybrid_sam/events.out.tfevents.1773031206.ldtan.2057501.0,workspaces/v4_5_hybrid_sam/config.yaml,workspaces/v4_5_hybrid_sam,v4_5_hybrid_sam,,215,215,1,9.543704986572266,0.17179107666015625,0.42939653992652893,0.5499011278152466,,,,,,3.4122931957244873,19.379310607910156,90.69081115722656,data/AnimeRun_v2/,data/AnimeRun_v2/,,
v4_5_hybrid_sam_stable,v4_5_hybrid_sam,workspaces/v4_5_hybrid_sam_stable,tensorboard_partial,workspaces/v4_5_hybrid_sam_stable/tb_v4_5_hybrid_sam_stable/events.out.tfevents.1773070870.ldtan.2261884.0,workspaces/v4_5_hybrid_sam_stable/config.yaml,workspaces/v4_5_hybrid_sam_stable,v4_5_hybrid_sam,,425,425,1,9.58620834350586,0.16617968678474426,0.42850029468536377,0.5444508790969849,,,,,,3.501688003540039,19.3089599609375,90.32002258300781,data/AnimeRun_v2/,data/AnimeRun_v2/,,
v4_5_ablation_d_hybrid_maskcorr,v4_5_hybrid_sam,workspaces/v4_5_ablation_d_hybrid_maskcorr,missing_metrics,,workspaces/v4_5_ablation_d_hybrid_maskcorr/config.yaml,workspaces/v4_5_ablation_d_hybrid_maskcorr,v4_5_hybrid_sam,,,,0,,,,,,,,,,,,,data/AnimeRun_v2/,data/AnimeRun_v2/,,
v4_6_hybrid_sam_longgap,v4_5_hybrid_sam,workspaces/v4_6_hybrid_sam_longgap,missing_metrics,,workspaces/v4_6_hybrid_sam_longgap/config.yaml,workspaces/v4_6_hybrid_sam_longgap,v4_5_hybrid_sam,,,,0,,,,,,,,,,,,,data/AnimeRun_v2/,data/AnimeRun_v2/,,
v4_6_hybrid_sam_sub7_v2_v5,v4_5_hybrid_sam,workspaces/v4_6_hybrid_sam_sub7_v2_v5,missing_metrics,,workspaces/v4_6_hybrid_sam_sub7_v2_v5/config.yaml,workspaces/v4_6_hybrid_sam_sub7_v2_v5,v4_5_hybrid_sam,,,,0,,,,,,,,,,,,,data/AnimeRun_v2/,data/AnimeRun_v2/,,
v4_5_ablation_b_matcher_lcm,v4_5_matcher_lcm,workspaces/v4_5_ablation_b_matcher_lcm,missing_metrics,,workspaces/v4_5_ablation_b_matcher_lcm/config.yaml,workspaces/v4_5_ablation_b_matcher_lcm,v4_5_matcher_lcm,,,,0,,,,,,,,,,,,,data/AnimeRun_v2/,data/AnimeRun_v2/,,
v4_epe_optimized,v4_epe_optimized,workspaces/v4_epe_optimized,tensorboard_partial,workspaces/v4_epe_optimized/tb_v4_epe_optimized/events.out.tfevents.1772894026.ldtan.1575089.0,workspaces/v4_epe_optimized/config.yaml,workspaces/v4_epe_optimized,,,850,850,1,13.69018840789795,0.0037846972700208426,0.0545959547162056,0.17026709020137787,,,,,,8.772098541259766,19.778602600097656,88.65362548828125,data/AnimeRun_v2/,data/AnimeRun_v2/,,
v4_epe_optimized_v2,v4_epe_optimized_v2,workspaces/v4_epe_optimized_v2,missing_metrics,,workspaces/v4_epe_optimized_v2/config.yaml,workspaces/v4_epe_optimized_v2,,,,,0,,,,,,,,,,,,,data/AnimeRun_v2/,data/AnimeRun_v2/,,
v4_full,v4_full,workspaces/v4_full,missing_metrics,,workspaces/v4_full/config.yaml,workspaces/v4_full,,,,,0,,,,,,,,,,,,,data/AnimeRun_v2/,data/AnimeRun_v2/,,
v4_full_lite,v4_full_lite,workspaces/v4_full_lite,missing_metrics,,workspaces/v4_full_lite/config.yaml,workspaces/v4_full_lite,,,,,0,,,,,,,,,,,,,data/AnimeRun_v2/,data/AnimeRun_v2/,,
v4_full_v2,v4_full_v2,workspaces/v4_full_v2,missing_metrics,,workspaces/v4_full_v2/config.yaml,workspaces/v4_full_v2,,,,,0,,,,,,,,,,,,,data/AnimeRun_v2/,data/AnimeRun_v2/,,
